                       OLS Regression Results                       
Dep. Variable:   ,price           ,  R-squared:         ,   0.613   
Model:           ,OLS             ,  Adj. R-squared:    ,   0.613   
Method:          ,Least Squares   ,  F-statistic:       ,   3759.   
Date:            ,Thu, 23 Apr 2020,  Prob (F-statistic):,  0.00     
Time:            ,21:15:19        ,  Log-Likelihood:    ,-7.3021e+05
No. Observations:,142259          ,  AIC:               ,1.461e+06  
Df Residuals:    ,142198          ,  BIC:               ,1.461e+06  
Df Model:        ,    60          ,                     ,           
Covariance Type: ,nonrobust       ,                     ,           
                                            ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
review_scores_communication                 ,   -2.6207,    0.279,   -9.402, 0.000,   -3.167,   -2.074
review_scores_location                      ,    7.4328,    0.205,   36.272, 0.000,    7.031,    7.834
review_scores_value                         ,   -3.7063,    0.227,  -16.294, 0.000,   -4.152,   -3.260
Subway_Count_Within_200m                    ,    2.9626,    0.223,   13.298, 0.000,    2.526,    3.399
Bus_Count_Within_1000m                      ,   -0.0977,    0.013,   -7.689, 0.000,   -0.123,   -0.073
Restaurants_Count_Within_1000m              ,    0.1196,    0.002,   48.577, 0.000,    0.115,    0.124
Shops_Count_Within_200m                     ,   -0.6101,    0.070,   -8.692, 0.000,   -0.748,   -0.473
Shops_Count_Within_1000m                    ,    0.1607,    0.009,   16.970, 0.000,    0.142,    0.179
Attractions_Count_Within_200m               ,    2.9165,    0.240,   12.140, 0.000,    2.446,    3.387
Attractions_Count_Within_1000m              ,    0.2166,    0.021,   10.403, 0.000,    0.176,    0.257
TAV_Month                                   ,    0.1077,    0.028,    3.793, 0.000,    0.052,    0.163
TDIFF_Month                                 ,    0.2724,    0.072,    3.789, 0.000,    0.132,    0.413
holidays                                    ,    0.4644,    0.151,    3.076, 0.002,    0.169,    0.760
season_Autumn                               ,   -6.1423,    0.630,   -9.747, 0.000,   -7.377,   -4.907
season_Spring                               ,   -8.0540,    0.696,  -11.574, 0.000,   -9.418,   -6.690
season_Summer                               ,   -6.5335,    0.711,   -9.190, 0.000,   -7.927,   -5.140
season_Winter                               ,   -9.2309,    0.719,  -12.845, 0.000,  -10.639,   -7.822
Brooklyn                                    ,   12.5552,    0.761,   16.507, 0.000,   11.064,   14.046
Manhattan                                   ,   28.2823,    0.785,   36.034, 0.000,   26.744,   29.821
Queens                                      ,    3.9478,    0.804,    4.908, 0.000,    2.371,    5.524
Staten Island                               ,  -10.3166,    1.387,   -7.440, 0.000,  -13.034,   -7.599
moderate                                    ,   -2.5173,    0.404,   -6.236, 0.000,   -3.309,   -1.726
strict                                      ,  -34.4056,    7.841,   -4.388, 0.000,  -49.775,  -19.036
strict_14_with_grace_period                 ,   -2.8624,    0.374,   -7.659, 0.000,   -3.595,   -2.130
super_strict_60                             ,   39.5792,    3.784,   10.459, 0.000,   32.162,   46.996
within a day                                ,   -2.9470,    1.155,   -2.552, 0.011,   -5.210,   -0.684
within a few hours                          ,   -3.8388,    1.250,   -3.070, 0.002,   -6.289,   -1.388
within an hour                              ,   -3.0227,    1.271,   -2.378, 0.017,   -5.514,   -0.532
Hotel room                                  ,  -13.0244,    3.678,   -3.541, 0.000,  -20.234,   -5.815
Private room                                ,  -53.5780,    0.293, -183.005, 0.000,  -54.152,  -53.004
Shared room                                 ,  -75.2367,    1.001,  -75.157, 0.000,  -77.199,  -73.275
Omnibus:      ,16426.185,  Durbin-Watson:     ,   2.011 
Prob(Omnibus):, 0.000   ,  Jarque-Bera (JB):  ,41682.396
Skew:         , 0.667   ,  Prob(JB):          ,    0.00 
Kurtosis:     , 5.292   ,  Cond. No.          ,1.53e+16 

Warnings:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.79e-22. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
